ID	Reference	Second Reference	Text	Attribution	Possible Source	First mentioned	Variant	Second Variant
180	Ps 21:7		Σκώληκα ὁ Χριστὸς ἑαυτὸν ὠνόμασε, τὸ μὲν διὰ τὸ ἄσπορον			IV:468		
181	Ps 21:7		Τὸν ἐν τῷ σταυρῷ ὀνειδισμὸν λέγει.			III:143	II:175	
182	Ps 21:7		Τοῦ Χριστοῦ.			II:248		
183	Ps 21:7		Τοῦτο λέγει ἐξευτελιζόμενος ὑπὸ τοῦ Σεμεεὶ καὶ διωκόμενος			II:175		
184	Ps 21:10-11		Κύριε, βο<ήθησον> τὸν δοῦλ<όν> σου.			II:91		
185	Ps 21:10		Ὁ γεννήσας με ἐκ γαστρὸς παρθένου χωρὶς ἀνδρὸς καὶ θελήματος			II:175		
186	Ps 21:12		Εἰ γὰρ μὴ παρείη τοῖς ἀγωνιζομένοις καρτερίαν διδοὺς		Didymus of Alexandria	I:308		I:252, II:46
187	Ps 21:12		Μέχρι γάρ φησι ἡ σὰρξ καὶ ἡ θεότης εἰσὶ τῷ λόγῳ	Athanasius of Alexandria	Hesychius of Jerusalem (comm. magn.)	V:10		
188	Ps 21:12		Ταῦτα ὁ θεὸς λόγος ταῖς ἀσθενείαις τῆς σαρκὸς συγκαταβαίνων			II:46		
189	Ps 21:12		Τίς γὰρ βοηθεῖν ἠδύνατο τῷ πάσχοντι ἰδίῳ θελήματι;			III:143		
190	Ps 21:13		Βόες (sic) λέγει τοὺς Ἰουδαίους.			II:146	III:143-144	
191	Ps 21:13		Μόσχους δὲ τοὺς γραμματεῖς καὶ Φαρισαίους οἳ ταύρων			III:144	IV:373	IV:328, IV:425
192	Ps 21:13		Οἱ τῶν Ἰουδαίων ἱερεῖς καὶ διδάσκαλοι μόσχοι	Theodoret of Cyrrhus	Hesychius of Jerusalem (comm. magn.)	V:10		
193	Ps 21:13		Ταύρους λέγει τοὺς Ἰουδαίους.			II:146	III:143-144	
194	Ps 21:13		Τοῖς ὑποτεταγμένοις λέγει τοῖς ἄρχουσιν.	Theodotion		III:345		
195	Ps 21:13		Τοὺς ἀπηνεῖς καὶ ἀλόγους, λιπαροὺς καὶ πλουσίους λέγει.			II:175		
196	Ps 21:13		Τουτέστι βόες· λέγει δὲ τοὺς Ἰδουαίους.			III:143-144	II:146	
197	Ps 21:13		Ὥσπερ γὰρ ταῦροι θρασεῖς καὶ λέοντες μαινόμενοι ἐπανέστησαν			IV:373	III:144	IV:328, IV:425
198	Ps 21:14		Οἱ λέοντες, ὅταν καταλήψωνται θήραν μέγα τι, ὠρύονται καὶ βρυχῶσιν	Cyril of Alexandria		IV:144		V:180
199	Ps 21:14		Περὶ οὗ φησι εἴρηται· Ὁ ἐχθρὸς ἡμῶν διάβολος			II:175	II:61	
200	Ps 21:14		Ὕδωρ ὅταν ἐκχυθῇ πλατύνεται καὶ τὴν γῆν καρποφορεῖν	Athanasius of Alexandria	Hesychius of Jerusalem (comm. magn.)	V:10		
201	Ps 21:14		Φησὶ περὶ οὗ εἴρηται· Ὁ ἐχθρὸς ἡμῶν διάβολος			II:61	II:175	
202	Ps 21:14		Ὡς λέων ὠρυόμενος ὁ Ἰουδαίων λαὸς ὥρμησεν			IV:302		
203	Ps 21:15		Ἐξεχύθην μετὰ τοῦ ν κεῖται ἐν τῷ Ἑξαπλῷ παρὰ πᾶσιν· οὕτω		hexapla	III:53-54		IV:184, IV:203, IV:248
204	Ps 21:15		Ἡ καρδία μου, ὅτι (δὲ cod.) διελύθη ὡσεὶ κηρός			IV:468		
205	Ps 21:15		Οἱ ἀπόστολοι.	Theodoret of Cyrrhus		III:107		
206	Ps 21:15		Τῇ εὐδιαχύτῳ τοῦ ὕδατος φύσει τὴν ἐκ τῆς δουλείας			II:175		
207	Ps 21:15		Τὴν ἐν σταυρῷ δίψαν ὕδωρ ἐκχυθὲν συναχθῆναι οὐ δύναται.			IV:468		
208	Ps 21:15		Τὸ ἐκχυθὲν ἐκ τῆς τοῦ κυρίου πλευρᾶς αἷμα καὶ ὕδωρ.			II:32		
209	Ps 21:15		Τοὺς Ἰουδαίους λέγει συναγωγὴν πονηρευομένην.			V:186		
210	Ps 21:16		Ἀντὶ τοῦ· ἀπετάμη (sic) ἡ δύναμίς μου.			II:61		
211	Ps 21:16		Εὐδοκίᾳ γάρ σου, τοῦ πατρός, τὸ πάθος <ὑ>πέμεινα.	Theodoret of Cyrrhus		II:91		
212	Ps 21:16		Ἡ ἰσχὺς ὡς πρὶν οὐκ ἐνήργει κατὰ τὸ εἰρημένον.	Theodotion		III:345		
213	Ps 21:16		Οὐ ῥημάτων ἀπορῶν ἐπὶ τῷ Πιλάτῳ ἀλλ' ἡμᾶς σιωπεῖν			II:47		
214	Ps 21:16		Τὴν δὲ ἐν τῷ τάφῳ ἀναστροφὴν χοῦν θανάτου ὠνόμασεν.			IV:468		
215	Ps 21:16		Τούτου γὰρ χάριν καὶ παρὰ τοὺς Ἰουδαίους ἀπέσταλται.			II:47		
216	Ps 21:16		Χοῦν διὰ τοῦτο προσαγορεύει τὸν τοῦ θανάτου τόπον	Athanasius of Alexandria	Hesychius of Jerusalem (comm. magn.)	V:10		
217	Ps 21:17-19		Οἱ Ἰουδαῖοι ταῦροι, κύνες δὲ οἱ ἐθνικοί			IV:13		
218	Ps 21:17		[4 litt.] πρότερον [15 litt.] περικυκλ[5 litt.] αὐτὸν κύνας εἶπεν			II:304		
219	Ps 21:17		]νων λέγει στρατιώτας συναγω[] καίους.			III:217-218		
220	Ps 21:17		Κύνας τοὺς ἐξ ἐθνῶν μνημονεύει στρατιώτας ἀλλ΄ ὅμως	Theodoret of Cyrrhus	Theodoret of Cyrrhus	III:176		III:203
221	Ps 21:17		Πάλιν κύνας τοὺς τοῦ Πιλάτου στρατιῶτας λέγει			II:61		
222	Ps 21:17		Παρεδόθη δὲ καὶ εἰς χοῦν τουτέστιν ἐν τῷ τάφῳ			IV:374		
223	Ps 21:17		Περὶ πάντων τῶν στρατιωτῶν καὶ τῶν Ἰουδαίων			III:345		
224	Ps 21:17		Τὸν Χριστὸν Ἰουδαῖοι ἐπὶ τοῦ σταυροῦ.			II:146		
225	Ps 21:17		Τοῦ Χριστοῦ.			II:66 = II:146 = II:248		
226	Ps 21:18		Ἀπέγνωσαν ὅτι οὐκ εἰμὶ θεὸς κράζοντες Εἰ υἱὸς εἶ τοῦ θεοῦ			II:61		
227	Ps 21:19		Ἱμάτια νοήσεις καὶ τὰς ἀρετάς.			III:451		
228	Ps 21:19		Τοῦ Χριστοῦ.			II:66 = II:146		
229	Ps 21:19		Ἱμάτιά ἐστιν ἃ οὐ κατὰ σάρκα φοροῦμεν, οἱ ἄνθρωποι			V:133-134		
230	Ps 21:21		Ἤγουν τοῦ διαβόλου.			IV:468		
231	Ps 21:21		Κύνα τὴν συναγωγὴν τῶν Ἰουδαίων τὴν φιλυπόστροφον		Hesychius of Jerusalem (comm. magn.)	II:66		V:9
232	Ps 21:21		Νῦν δὲ ἑνικῶς τὸ γένος καλεῖ, μονογενῆ δὲ αὐτοῦ τὴν ψυχὴν			II:304		
233	Ps 21:21		Ῥομφαίαν καλεῖ τὸν θάνατον ἀφ' οὗ καὶ ῥυσθῆναι ζητεῖ	Cyril of Alexandria		IV:145		V:185, V:262
234	Ps 21:21		Τὴν μὲν ἑαυτοῦ ψυχὴν κατὰ τὴν λέξιν προβάλλεται ῥυσθῆναι	Athanasius of Alexandria, Basil of Caesarea		II:65		IV:375, IV:426, V:11
235	Ps 21:21		Τὸν πολεμοποιὸν λαὸν διαβάλλων ταῦτά φησιν.	Basil of Caesarea	Basil of Caesarea	III:450		IV:328, IV:374
236	Ps 21:21		Τοῦ διαβόλου.			II:146		
237	Ps 21:21		Χεῖρα κυνὸς τὴν ἐξουσίαν τοῦ Σατανᾶ ὀνομάζει οὗ καὶ φθόνῳ			II:65-66		III:536-537, IV:375, IV:426
238	Ps 21:22		Σοῦ δὲ βοηθοῦντος τριταῖος ἀναστὰς ματαίαν ἀποδείξω		Hesychius of Jerusalem (comm. magn.)	V:11		
239	Ps 21:22		Τοῦ διαβόλου ἢ τοῦ θανάτου καὶ τοῦ ᾍδου.			II:66		II:147
240	Ps 21:23-25		Ἐκκλησίαν καλεῖ τοὺς ἐξ ἐθνῶν καὶ ἐξ Ἰουδαίων συνεστηκότας.		Theodoret of Cyrrhus	V:134		
241	Ps 21:23-25		Πτωχὸν δὲ ἑαυτὸν ἐκάλεσεν ὅτι πλήρης ἀγαθῶν ὢν			V:134		
242	Ps 21:23		Ἐνταῦθα τοὺς ἀποστόλους καλεῖ ὁ Χριστὸς ἀδελφούς.			II:66		II:147
243	Ps 21:23		Τὴν ἐξ ἐθνῶν καὶ ἐξ Ἰουδαίων ἐκκλησίαν λέγει.			III:144		
244	Ps 21:23		Τὴν τῶν Ἰουδαίων συναγωγὴν λέγει.			II:66		II:147
245	Ps 21:24		Καὶ τοῦτο πάλιν ὡς ἄνθρωπος· τοὺς γὰρ ἀποστόλους σημαίνει	Athanasius of Alexandria	Athanasius of Alexandria	IV:426		
246	Ps 21:24		Περὶ τῶν ἀποστόλων λέγει καὶ ὅσοι τυγχάνουν ἅγιοι ὡς αὐτοί.		Hesychius of Jerusalem (Jagić)	II:32-33		
247	Ps 21:24		Σπέρμα Ἰσραὴλ τοὺς ἀποστόλους φησί.		Athanasius of Alexandria	IV:425		
248	Ps 21:24		Τὸν ἐξ ἐθνῶν πιστὸν λαὸν λέγει. Οὗτοι γὰρ ὡς τέκνα θεοῦ		Hesychius of Jerusalem (Jagić)	II:33		
249	Ps 21:25		Πάλιν ἐκ προσώπου τῆς ἐκκλησίας εἶπεν τὴν […] τῶν πιστῶν			II:61		
250	Ps 21:25		Πάλιν περὶ τοῦ γένους τῶν ἀνθρώπων ὅτι ἐν σκότει			IV:375		IV:426
251	Ps 21:25		Πτωχὸν λέγει τὴν ἀνθρωπείαν φύσιν.			III:144		
252	Ps 21:26		Διαφέρει ὅτι ἡ μὲν εὐχὴ σύνταξιν καὶ ὑπόσχεσιν			III:451		
253	Ps 21:26		Οὗτος γάρ ἐστιν ὁ ἐμὸς παρὰ σοῦ τοῦ πατρὸς ἔπαινος.			III:144		IV:328
254	Ps 21:26		Τινὰ τῶν ἀντιγράφων ἔχουσιν καὶ τὸ Ἐξομολογήσομαί σοι			II:91		
255	Ps 21:26		Τὸ “ἐξομολόγησαί σοι” περιττόν.			V:44		
256	Ps 21:26		Τοὺς Ἰουδαίους λέγει.		Hesychius of Jerusalem (Antonelli)	II:66		
257	Ps 21:27		Οἱ γὰρ τὸν μυστικὸν ἐσθίοντες ἄρτου τὴν αἰώνιον		Hesychius of Jerusalem (Jagić)	III:144		
258	Ps 21:27		Οὐκ εἶπεν τὰ σώματα, ἀλλ’ αἱ καρδίαι, ἵνα μάθῃς ὅτι ψυχῆς	Theodoret of Cyrrhus, Theodosius	Theodoret of Cyrrhus, Hesychius of Jerusalem (comm. magn.)	II:91		II:147, III:176, III:203, III:218, V:11, V:41, V:186
259	Ps 21:27		Πένητας ἐνταῦθα τὰ ἔθνη λέγει.			III:144		IV:328
260	Ps 21:27		Τῇ ἐλπίδι τῆς ἀναστάσεως, φησί, ψυχαγωγούμενοι ζήσονται		Theodoret of Cyrrhus	IV:329		
261	Ps 21:28		Καὶ τὴν ἐκ νεκρῶν αὐτοῦ ἀνάστασιν προσδραμοῦνται πρὸς τὴν			III:144		
262	Ps 21:28		Καὶ τοῦτο τέλους τετύχηκεν.			III:144		
263	Ps 21:30		Οἱ θνῄσκοντες καὶ τὸν Χριστὸν οἱ μὴ ὁμολογοῦντες			II:33		
264	Ps 21:30		Οἱ πλούσιοι τῆς γῆς τουτέστιν οἱ ἐκ Περσίδος μάγοι			II:67		II:147, IV:375, IV:426
265	Ps 21:30		Πίονας τοὺς πλουσίους λέγει, τοὺς δὲ καταβαίνοντας εἰς γῆν			IV:468		
266	Ps 21:31		Γενεάν φησι οὐ τῶν Ἰουδ<αίων ἀλλὰ> τὴν ἐξ ἐθνῶν.			III:218		
267	Ps 21:31		Καὶ τίνες “ἀναγγελοῦσιν”; Οἱ ἀπόστολοι· οὗτοι γὰρ καὶ τῷ Χριστῷ			III:451		
268	Ps 31:1-2		Διὰ τῆς κολυμβήθρας λέγει.			IV:470		
269	Ps 31:1		Ἀντὶ τοῦ· συνετισθεὶς ὁ Δαβὶδ θείῳ πνεύματι τὰ περὶ τὸν Ἐζεκίαν			II:177		
270	Ps 31:1		Διαφέρει ἀνομία ἁμαρτίας· ἀνομία μὲν ἐπὶ τῶν μηδ’ ὁπωσοῦν		Didymus of Alexandria	I:228-229		
271	Ps 31:1		Ἐν τῇ χάριτι τοῦ βαπτίσματος δηλονότι.	John Chrysostom		III:177		III:218, V:44
272	Ps 31:1		Ἐπὶ τῷ δικάσαι, ἐπὶ τῷ κρῖναι Ἀσσυρίοις πολεμοῦσι			III:349		
273	Ps 31:1		Ἢ λείψανα ὥστε ἐς τὸ μετέπειτα χρόνον φαίνεσθαί τε καὶ			V:136		
274	Ps 31:1		Ταῖς ἀνομίαις ταῖς χωρὶς νόμου τὰς διὰ νόμου παραβάσεως		Didymus of Alexandria	I:228-229		
275	Ps 31:1		Τὴν ἀθρόαν τῶν ἀνομιῶν ἄφεσιν, τουτέστι τὴν παντελῆ	Eusebius of Caesarea	Arsenius	II:177		II:62
276	Ps 31:1		Τὸ δὲ ἀπεκαλύφθησαν ὡς μηδὲ ἴχνη τούτων κατειληφθῆναι			III:145		IV:330, IV:376, IV:427
277	Ps 31:2		Μακάριος γὰρ ἄνθρωπος ὁ μὴ ἔχων ἐν ἡμέρᾳ κρίσεως <σ>φάλμα.		Hesychius of Jerusalem (Antonelli)	II:33		
278	Ps 31:2		Τοὺς αὐτοὺς λέγει.		Hesychius of Jerusalem (Antonelli)	IV:61-62		
279	Ps 31:2-3		Τοῦτο γὰρ τὸ ἀπὸ τοῦ κράζειν με ὅλην τὴν ἡμέραν δηλοῖ.			V:136		
280	Ps 31:3	Ps 31:4	Διὰ τὸ ἀφανισθῆναι ῥαθυμήσας ὑπὸ τῆς ἁμαρτίας			II:48		
281	Ps 31:3		Διὸ καὶ τὸ σῶμά μου καὶ τὰ ὀστᾶ μου ἤγουν			IV:470		
282	Ps 31:3		Ἐγώ, φησί, ἐπειδὴ παρεσιώπησα καὶ οὐ ταχέως ἐξήγγειλα	Theodoret of Cyrrhus		II:62		
283	Ps 31:3		Ἐκ προσώπου τοῦ Ἐζεκίου διὰ τὸ σιγῆσαι μετὰ τὴν μεγάλην σημασίαν			II:177-178		
284	Ps 31:4		Ἄνευ τοῦ “ν” πάντες οἱ ο′ καὶ Ἀκύλας καὶ Θεοδοτίων.		hexapla	IV:216		
285	Ps 31:4		Διὰ δὲ τὸ ἐμπαγῆναι δείκνυσιν ἔξω εἶναι τὴν ἁμαρτίαν.			III:452		
286	Ps 31:4		Ἐκ μεταφορᾶς τῶν βαρείᾳ χειρὶ [...]όντων λέγεται τὸ ἐβαρύνθη	Theodoret of Cyrrhus		II:62		
287	Ps 31:4		Μεθ’ ὑπερβατόν· ἀπὸ τοῦ κράζειν μὲ ὅλην τὴν ἡμέραν		Adrian	II:178		
288	Ps 31:4		Ὁρᾷς ὅτι πανταχοῦ ἡ γραφὴ ἀκάνθας καλεῖ τὰ ἁμαρτήματα	Theodoret of Cyrrhus		II:92-93		II:148
289	Ps 31:4		Τὴν παραβολὴν ἐνταῦθα ἄνευ τοῦ ὡς τέθεικεν, ἵνα εἴπῃ		Adrian	II:178		
290	Ps 31:5-6		Πῶς δὲ τὴν ἀνομίαν ἐξαγγέλλει καὶ τὴν ἀσέβειαν λυτροῦται			II:62		
291	Ps 31:5-6		Τινὲς λαμβάνοντες λέγουσι μόνῳ ἐξαγγέλλειν ἀλλὰ σκωπείτωσαν			II:62		
292	Ps 31:5		Ἀνομίαν τὸν φόνον καὶ <ἁ>μαρτίαν τὴν μοιχείαν.			IV:470		
293	Ps 31:5		Κατὰ τὸ “λέγε σὺ τὰς ἁμαρτίας σου ἵνα δικαιωθῆς”.			III:349		
294	Ps 31:5		Πᾶς ὁ θέλων σωθῆναι, φησί, προσευχέσθω	Athanasius of Alexandria		III:453		IV:330, IV:376, IV:427
295	Ps 31:6		Διὰ τὸ παρὰ πάντων τῶν ἐφ' ἑξῆς ἀνθρώπων μέλλειν			III:349		
296	Ps 31:6		Ἐν τῷ καιρῷ τοῦ βαπτίσματος οἱ ἐν ἁμαρτίαις πολλαῖς			IV:470		
297	Ps 31:6		Καιρὸν εὔθετον τὸν τοῦ βαπτίσματός φησι.	Hesychius of Jerusalem	Hesychius of Jerusalem (comm. magn.)	V:45		II:48, V:13
298	Ps 31:6		Κατὰ μὲν τὸν μέγαν Βασίλειον τὴν τοῦ θείου βαπτίσματος	Basil of Caesarea	Basil of Caesarea, Diodore of Tarsus	II:178-179		
299	Ps 31:6		Κατακλυσμῶν δὲ ὑδάτων πολλῶν τὰς διαφόρους			III:218		
300	Ps 31:6		Ὁ τοίνυν κατακλυσμὸν ὥς εἴρηται κατὰ Σύμμαχον	Eusebius of Caesarea		III:349		
301	Ps 31:6		Ὑπὲρ ταύτης τῆς συμπαθείας καὶ ἀφέσεως οὐ μόνον ἐγώ	Theodoret of Cyrrhus, Diodore of Tarsus	Diodore of Tarsus	II:178		
302	Ps 31:7		Ἀγαλλίαμα γὰρ υἱοῦ ὁ πατήρ ἐστιν			IV:470		
303	Ps 31:7		Εἰκότως ἐνταῦθα πρόσκειται· ἀπὸ γὰρ τοῦ προσώπου	Hesychius of Jerusalem, Theodoret of Cyrrhus	Hesychius of Jerusalem (comm. magn.)	II:93		II:48, II:147, II:228
304	Ps 31:7		Ὁ κύριος ἡμῶν Ἰησοῦς Χριστός ἐστιν· οἱ δὲ κυκλώσαντες	Theodoret of Cyrrhus		III:177		III:203, III:218, V:44
305	Ps 31:7		Χριστέ, ἡ ἐλπίς μου καὶ τὸ ἀγαλλίαμά μου, λύτρωσαί με			III:452		
306	Ps 31:8		Κατ’ ἔλλειψιν λέγει· λείπει γὰρ ἀντὶ τοῦ· τοῦτο εἶπας			II:179		
307	Ps 31:8		Ταῦτα ὡς ἐκ προσώπου φησὶ τοῦ θεοῦ ὁ προφήτης.	Theodoret of Cyrrhus		III:177		III:203, V:44
308	Ps 31:8		Τὸ γὰρ ἐπιστηριῶ ἐπὶ σὲ ἀντὶ τοῦ ἐμμόνως πρὸς σὲ			II:179		
309	Ps 31:8		Τὸ “συνετιῶ σε καὶ συμβιβῶ σε” ἐκ προσώπου εἴρηται τοῦ θεοῦ.			II:179		
310	Ps 31:8		Ὥσπερ ὁ ὀργιζόμενος τὸ πρόσωπον ἀποστρέφει			II:62		
311	Ps 31:9-11		Ὡς προφήτης καὶ βασιλεὺς διδάσκει ἐξ ὧν ἔπαθε καὶ ἑτέρους	Theodoret of Cyrrhus		II:63		
312	Ps 31:9		Ἀσφαλίσῃ τοῖς ἀλογίστοις πάθεσι μὴ ἐκδιδόναι ἑαυτόν.			IV:376		
313	Ps 31:9		Ἐκ πάντων γὰρ ἐκημώθησαν.			IV:376		
314	Ps 31:9		Ὁ μὲν σύνεσιν ἔχων καὶ λογικὸς αἰσθάνεται			V:14		
315	Ps 31:9		Ὁμοίως καὶ κημὸς καὶ χαλινός ἐστι τῶν κακίστων δαιμόνων.			IV:376		
316	Ps 31:9		Περιβάλλων ἢ ἀρρωστίᾳ ἢ θλίψει ἑτέρᾳ ἢ ἂδοκήτῳ	Cyril of Alexandria	Cyril of Alexandria	V:12		
317	Ps 31:9		Τὰ μὲν ἁπλᾶ τῶν ζῴων ποτὲ μὲν ἐπαινοῦνται	Gregory of Nyssa		V:13		
318	Ps 31:9		Τὸ αὐτὸ σημαίνει ὅ ἐστι φιμός.			II:179		
319	Ps 31:10		Ἁμαρτωλὸν τὸν διάβολόν φησι.			II:148	II:93	
320	Ps 31:10		Μάστιγας τὰς ἐπαγομένας τοῖς ἁμαρτωλοῖς ἐν τάξει			II:179		
321	Ps 31:10		Πολλαὶ γάρ φησι αἱ τῶν ἁμαρτωλῶν μάστιγες· τὴν αἰσχύνην		Hesychius of Jerusalem (Antonelli)	II:179		
322	Ps 31:10		Τὰ περιστατικὰ έπὶ μὲν τῶν δικαίων θλίψεις λέγονται	John Chrysostom		V:14		
323	Ps 31:10		Τοῦ διαβόλου.			II:93	II:148	
324	Ps 31:10		Τῷ γὰρ ἀνέχοντι πρὸς τὸν θεὸν οὐκ ἐπαχθήσεται ἐν τἀξει			II:179		
325	Ps 31:10		Τῶν μελλόντων μὴ πείθεσθαί σοι πολλαὶ αἱ μάστιγες			II:48		
326	Ps 31:11	Ps 31:10-11	Ἀρκεῖ τοῖς ἁγίοις ἡ ἐπουράνιος εὐφροσύνη.	Basil of Caesarea, Ephrem		III:178		III:203, V:44
327	Ps 31:11		Περιέπει δὲ αὐτὸν ἐν κύκλῳ τὸ ἔλεος τοῦ θεοῦ· διὸ καὶ ἀγαλλιᾶσθε			II:179		
328	Ps 31:11		Τί δὲ αὐτῶν τὸ καύχημα ὅτι τοῦ κυρίου μακαρισμός			II:48-49		
329	Ps 31:11		Ὡς ἄγαν σοφὸν τῆς ᾠδῆς τὸ συμπέρασμα	Cyril of Alexandria	Cyril of Alexandria	V:12		
330	Ps 41:1		Κοινωνικός ἐστι ὁ ψαλμὸς προφητευθεὶς εἰς τὸν αἰχμαλωθέντα			II:180		
331	Ps 41:1		Οὕτω καὶ ἡμεῖς τῇ προσβολῇ τοῦ δολίου δράκοντος			III:146		
332	Ps 41:2		<Ἡ> δήλωσις τοῦ τρισαγίου· ἅγιος ὁ θεός, ἅγιος ἰσχυρός			IV:472		
333	Ps 41:2		Καὶ ἐκ προσώπου δὲ τῶν εἰς τὸ λουτρὸν τῆς παλιγγενεσίας			V:203		
334	Ps 41:2	Ps 41:3	Ὅθεν γέγονε τὸ τρισάγιον παρὰ τῶν ἁγίων πατέρων.			IV:472	III:303, III:353	III:326
335	Ps 41:3		Ἐγλίχετο γὰρ ἀπαλλαγῆναι τῶν ἐνταῦθα καὶ ἀπελθεῖν	Athanasius of Alexandria		III:304		III:326, III:353, IV:472
336	Ps 41:3	Ps 41:2	Ἐντεῦθεν γέγονε τὸ τρισάγιον παρὰ τῶν ἁγίων πατέρων.			III:303	III:353, IV:472	III:326
337	Ps 41:3	Ps 41:2	Ἔοικε δὲ ἀπὸ τοῦ παρόντος στίχου ληφθῆναι παρὰ τῶν πατέρων			III:353	III:303, IV:472	III:326
338	Ps 41:3		Περὶ γὰρ τῶν ἐν αἰχμαλωσίᾳ τοιαῦτα λέγ(ει).			III:304		III:326
339	Ps 41:3		Τὴν ἐκ νόμου δοθεῖσαν αὐτοῖς λέγει λατρείαν τουτέστι πότε ἥξω			II:180-181		
340	Ps 41:3		Τινὲς δὲ εἰς τὸν προφητικὸν χορὸν τὸν ψαλμὸν ἐκλαμβάνουσιν			III:353		
341	Ps 41:3		Τὸ ὀφθήσομαι ἀντὶ τοῦ λατρεῦσαι κεῖται.		Theodoret of Cyrrhus	IV:472		
342	Ps 41:4-5		Λέγει δὲ τὸν ψαλμὸν τοῦτον ἐκ προσώπου τῶν Ἰουδαίων		Theodoret of Cyrrhus	III:304		III:326
343	Ps 41:4		Ἐπειδὴ ὥσπερ τὸ ὕδωρ ἓν μέν ἐστι τῇ φύσει, οὐχ ἓν δὲ τῇ ἐνεργείᾳ		Jobius	IV:149		
344	Ps 41:4		Ἕτερος δὲ δηλοῦν ἔφη τὸ διαχυθῆναι πρὸς ὀδυρμούς.	Didymus of Alexandria	Theodoret of Cyrrhus	I:312		II:364
345	Ps 41:4		Τίνος ἕνεκεν ὁ προφήτης τὰ δάκρυα ποτὲ βρῶμα	Jo(hn/bius)	John Chrysostom, Jobius	IV:148-149		
346	Ps 41:4		Τοιαῦτα ἐπιτωθάζειν εἰκὸς τοὺς δυσμενεῖς	Athanasius of Alexandria	Theodoret of Cyrrhus	III:353		
347	Ps 41:5		Οἶκον θεοῦ τὴν τελειότητα τοῦ πνευματικοῦ βίου δηλοῖ.			II:68		II:94, II:148-149, IV:377-378(?)
348	Ps 41:5		Σκηνὴν θαυμαστήν φησι τὸν κατὰ θεὸν προκόπτοντα			II:181	II:49, V:46	
349	Ps 41:5	Ps 41:7	Σκηνῆς θαυμαστῆς τοῦ κατὰ θεὸν προκόπτοντος· οἶκον θεοῦ			V:46	II:49, II:181	
350	Ps 41:5		Τῆς εἰς τὸν θεὸν πίστεως.			II:67		
351	Ps 41:5		Τῆς εἰς τὸν κύριον πίστεως.			II:68		II:149
352	Ps 41:5	Ps 41:3	Τῆς κατὰ θεὸν προκοπῆς λέγει.		lexeis	II:67		II:148, II:180
353	Ps 41:5		Τῆς τελειότητος.			II:67		
354	Ps 41:5		Τοῦ κυρίου τὴν σκέπην λέγει ἕως τοῦ οἴκου	Athanasius of Alexandria		IV:472		
355	Ps 41:7-8		Ἢ τὸ τοῦ βαπτίσματος προλέγει μυστήριον			V:95		
356	Ps 41:7	Ps 41:5	Εἴρηται δὲ καὶ ὁδὸς πεφωτισμένη καὶ ὄρος μικρὸν 			II:49	ΙΙ:181, V:46	
357	Ps 41:7	Ps 41:5	Εἴρηται δὲ καὶ ὁδὸς πεφωτισμένη κατάκλυσις τῆς διαβάσεως.			ΙΙ:181	II:49, V:46	
358	Ps 41:7		Θόρυβον ἔχων διὰ τοῦτο μνησθήσομαι περὶ τῆς πατρᾠας γῆς		Theodoret of Cyrrhus	IV:472		
359	Ps 41:7	Ps 41:5	Τῆς σαρκὸς τοῦ κυρίου· ὄρος δὲ μέγα ἡ ἀκατάληπτος θεότης			II:181	II:49, V:46	
360	Ps 41:7		Ὥστε διὰ τούτων ἁ<γ>νείαν ποιεῖται τῆς γῆς τὴν ἐπαγγελίαν.			IV:472		
361	Ps 41:8		Ἄβυσσος ὁ πατήρ, ἄβυσσος ὁ υἱός.		lexeis	II:49 = II:149	II:251-252, II:181-182, III:146	II:288, II:307, III:304, III:326, III:353, IV:271, IV:471
362	Ps 41:8		Ἄβυσσος ὁ πατήρ, ἄβυσσος ὁ υἱός, ὑδάτων πλῆθος ἀπέραντον.		lexeis	II:251-252	II:49 = II:149, II:181-182, III:146	II:288, II:307, III:304, III:326, III:353, IV:271, IV:471
363	Ps 41:8		Ἀλλαχοῦ δὲ καταρράκται οἱ τοῦ θεοῦ προφῆται.		Hesychius of Jerusalem (comm. magn.)	IV:378		
364	Ps 41:8		Εἴρηται δὲ ἄβυσσος καὶ ἡ θεωρία τῆς θείας γραφῆς.			II:49		
365	Ps 41:8		Εἶτα διηγεῖται τροπικῶς τὰ συμβάντα αὐτοῖς ἐν τῇ αἰχμαλωσίᾳ	Theodore of Mopsuestia		I:256		I:312
366	Ps 41:8		Ἐπελθόντος τοίνυν ἔθνους πολλοῦ τῇ Ἱερουσαλὴμ ἔφερε θυσίας	Athanasius of Alexandria		IV:472		
367	Ps 41:8		Ἡ ἄβυσσος τῶν ἡμετέρων πλημμελημάτων ἐπικαλεῖται τὴν ἀβυσσον	Cyril of Alexandria, Origen		III:304		III:326, III:354, IV:472
368	Ps 41:8		Ἢ τάχα τοῦ ἐπὶ τῆς ἐρυθρᾶς θαλάσσης μέμνηται θαύματος			III:354		
369	Ps 41:8		Ἤτοι τὸ ἄμετρον πλῆθος τῶν ἀνθρωπίνων ἁμαρτιῶν ἐπικαλεῖται			IV:472		
370	Ps 41:8		Καὶ ἄλλως τὸν πατέρα ἐν τῷ λέγειν· Εἰ δυνατόν, παρελθέτω			II:49		
